upstream_index,item_id,source_group_id,reason
354,smb-test-000354,mozart_sonata13_3_right_hand,fewer than two staff sequences support the page scale
355,smb-test-000355,mozart_sonate_in_a_-_kv_310_124_left_hand,fewer than two staff sequences support the page scale
364,smb-test-000364,mozart_sonata06_3g_right_hand,fewer than two staff sequences support the page scale
365,smb-test-000365,mozart_sonate_in_f_-_kv_332_31_right_hand,fewer than two staff sequences support the page scale
374,smb-test-000374,mozart_sonata02_1_left_hand,fewer than two staff sequences support the page scale
384,smb-test-000384,mozart_sonata10_1_right_hand,fewer than two staff sequences support the page scale
385,smb-test-000385,mozart_sonata05_3_left_hand,fewer than two staff sequences support the page scale
403,smb-test-000403,mozart_sonata01_3_right_hand,fewer than two staff sequences support the page scale
404,smb-test-000404,mozart_sonata08_1_right_hand,fewer than two staff sequences support the page scale
412,smb-test-000412,beethoven_sonata02_1,fewer than two staff sequences support the page scale
418,smb-test-000418,mozart_viennese1_4_right_hand,fewer than two staff sequences support the page scale
419,smb-test-000419,mozart_sonata13_2_right_hand,fewer than two staff sequences support the page scale
420,smb-test-000420,mozart_sonata01_3_left_hand,fewer than two staff sequences support the page scale
428,smb-test-000428,mozart_sonata07_2_right_hand,fewer than two staff sequences support the page scale
429,smb-test-000429,mozart_sonata14_3_right_hand,fewer than two staff sequences support the page scale
437,smb-test-000437,mozart_sonata12_1_left_hand,fewer than two staff sequences support the page scale
438,smb-test-000438,mozart_quartett_in_b_-_kv_589_67_left_hand,fewer than two staff sequences support the page scale
447,smb-test-000447,mozart_sonata12_3_right_hand,fewer than two staff sequences support the page scale
448,smb-test-000448,mozart_sonata09_1_right_hand,fewer than two staff sequences support the page scale
449,smb-test-000449,mozart_quintett_in_es_-_kv_407_1_right_hand,fewer than two staff sequences support the page scale
450,smb-test-000450,mozart_sonata01_2_right_hand,fewer than two staff sequences support the page scale
453,smb-test-000453,joplin_newrag,fewer than two staff sequences support the page scale
454,smb-test-000454,joplin_newrag,fewer than two staff sequences support the page scale
455,smb-test-000455,mozart_viennese6_3_right_hand,fewer than two staff sequences support the page scale
474,smb-test-000474,joplin_nonpareil,fewer than two staff sequences support the page scale
475,smb-test-000475,mozart_sonate_in_f_-_kv_332_30_right_hand,fewer than two staff sequences support the page scale
479,smb-test-000479,mozart_sonata11_2_right_hand,fewer than two staff sequences support the page scale
493,smb-test-000493,mozart_rondo_in_f_fu-r_clavier_-_kv_533_114_right_hand,fewer than two staff sequences support the page scale
497,smb-test-000497,mozart_sonata17_1_right_hand,fewer than two staff sequences support the page scale
498,smb-test-000498,mozart_sonata06_3h_right_hand,fewer than two staff sequences support the page scale
499,smb-test-000499,mozart_rondo_in_f_fu-r_clavier_-_kv_533_120_right_hand,fewer than two staff sequences support the page scale
511,smb-test-000511,mozart_sonata11_1c_right_hand,fewer than two staff sequences support the page scale
517,smb-test-000517,mozart_sonata11_3_right_hand,fewer than two staff sequences support the page scale
518,smb-test-000518,mozart_rondo_in_f_fu-r_clavier_-_kv_533_116_right_hand,fewer than two staff sequences support the page scale
519,smb-test-000519,mozart_sonata10_3_left_hand,fewer than two staff sequences support the page scale
520,smb-test-000520,mozart_sonata08_1_left_hand,fewer than two staff sequences support the page scale
523,smb-test-000523,mozart_sonata05_1_right_hand,fewer than two staff sequences support the page scale
524,smb-test-000524,mozart_sonata15_2_right_hand,fewer than two staff sequences support the page scale
535,smb-test-000535,mozart_sonata02_2_right_hand,fewer than two staff sequences support the page scale
550,smb-test-000550,mozart_sonata13_1_left_hand,fewer than two staff sequences support the page scale
551,smb-test-000551,mozart_divertimento_in_f_-_kv_138_30_right_hand,fewer than two staff sequences support the page scale
556,smb-test-000556,mozart_sonata02_1_right_hand,fewer than two staff sequences support the page scale
559,smb-test-000559,mozart_sonata11_1f_right_hand,fewer than two staff sequences support the page scale
560,smb-test-000560,mozart_sonata16_2_left_hand,fewer than two staff sequences support the page scale
566,smb-test-000566,mozart_sonata08_3_left_hand,fewer than two staff sequences support the page scale
567,smb-test-000567,mozart_sonata06_1_left_hand,fewer than two staff sequences support the page scale
572,smb-test-000572,mozart_sonata12_1_right_hand,fewer than two staff sequences support the page scale
573,smb-test-000573,mozart_sonata05_3_right_hand,fewer than two staff sequences support the page scale
575,smb-test-000575,mozart_sonata11_1g_right_hand,fewer than two staff sequences support the page scale
576,smb-test-000576,mozart_sonata02_3_left_hand,fewer than two staff sequences support the page scale
577,smb-test-000577,mozart_sonata15_3,fewer than two staff sequences support the page scale
602,smb-test-000602,mozart_sonata09_2_left_hand,fewer than two staff sequences support the page scale
606,smb-test-000606,joplin_roseleaf,fewer than two staff sequences support the page scale
621,smb-test-000621,mozart_erk035_right_hand,fewer than two staff sequences support the page scale
629,smb-test-000629,mozart_sonata02_2_left_hand,fewer than two staff sequences support the page scale
630,smb-test-000630,mozart_viennese1_2_right_hand,fewer than two staff sequences support the page scale
635,smb-test-000635,mozart_quintett_in_es_-_kv_407_3_left_hand,fewer than two staff sequences support the page scale
645,smb-test-000645,mozart_sonata06_3m_left_hand,fewer than two staff sequences support the page scale
665,smb-test-000665,mozart_rondo_in_f_fu-r_clavier_-_kv_533_119_right_hand,fewer than two staff sequences support the page scale
674,smb-test-000674,beethoven_sonata03_1,SMB region bounding box is outside the page
675,smb-test-000675,beethoven_sonata03_1,fewer than two staff sequences support the page scale
678,smb-test-000678,mozart_sonata07_2_left_hand,fewer than two staff sequences support the page scale
