evidence_id,discovered_via,full_reference,year,source_type,doi_or_official_url,canonical_identity,duplicate_of,screening_status,screening_reason,verification_date,notes
EVID-DOCRES-2024,Document restoration query and citation chase,"Zhang, J., Peng, D., Liu, C., Zhang, P., and Jin, L. (2024). DocRes: A Generalist Model Toward Unifying Document Image Restoration Tasks.",2024,primary_paper,https://openaccess.thecvf.com/content/CVPR2024/html/Zhang_DocRes_A_Generalist_Model_Toward_Unifying_Document_Image_Restoration_Tasks_CVPR_2024_paper.html,url:cvf:zhang-docres-2024,not_applicable,included,Included: document-specific multi-restoration scope evidence.,2026-08-18,CVF archival page and linked repository verified.
EVID-DOCSCAN-SR-2025,Exact title DOI query,"Zyrek, M., Tarasiewicz, T., Sadel, J., Krzywon, A., and Kawulok, M. (2025). Task-Driven Real-World Super-Resolution of Document Scans.",2025,primary_paper,https://doi.org/10.3390/app15148063,doi:10.3390/app15148063,not_applicable,included,Included: registered real-document and task-driven SR evidence.,2026-08-18,Publisher full text and dataset-available-upon-request statement verified; no paper implementation URL found.
EVID-SMB-2025,Direct score and OMR citation chase,"Martinez-Sevilla, J. C., et al. (2025). Sheet Music Benchmark: Standardized Optical Music Recognition Evaluation.",2025,official_dataset_documentation,https://doi.org/10.5281/zenodo.17811446,doi:10.5281/zenodo.17811446,not_applicable,included,Included: official score-domain benchmark and semantic evaluation context.,2026-08-18,Official ISMIR index says 604-611 while dataset card citation says 618-625; ISMIR pagination retained and conflict recorded; content not audited here.
EVID-FIDESR-2026,CVF 2026 current-evidence query,"Kim, A., et al. (2026). FiDeSR: High-Fidelity and Detail-Preserving One-Step Diffusion Super-Resolution.",2026,primary_paper,https://openaccess.thecvf.com/content/CVPR2026/html/Kim_FiDeSR_High-Fidelity_and_Detail-Preserving_One-Step_Diffusion_Super-Resolution_CVPR_2026_paper.html,url:cvf:kim-fidesr-2026,not_applicable,included,Included: current one-step diffusion fidelity/detail evidence.,2026-08-18,CVF archival page and paper-linked repository verified.
EVID-TADSR-2026,CVF 2026 current-evidence query,"Zhang, T., et al. (2026). Time-Aware One Step Diffusion Network for Real-World Image Super-Resolution.",2026,primary_paper,https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_Time-Aware_One_Step_Diffusion_Network_for_Real-World_Image_Super-Resolution_CVPR_2026_paper.html,url:cvf:zhang-tadsr-2026,not_applicable,included,Included: current explicit fidelity-realism control evidence.,2026-08-18,CVF archival page and paper-linked repository verified.
EVID-MMDIR-2026,CVF 2026 document query,"Li, H., et al. (2026). MMDIR: Multimodal Instruction-Driven Framework for Mixed-Degradation Document Image Restoration.",2026,primary_paper,https://openaccess.thecvf.com/content/CVPR2026/html/Li_MMDIR_Multimodal_Instruction-Driven_Framework_for_Mixed-Degradation_Document_Image_Restoration_CVPR_2026_paper.html,url:cvf:li-mmdir-2026,not_applicable,included,Included: current mixed-degradation document evidence.,2026-08-18,CVF archival page and dataset repository link verified.
EVID-TIGER-2026,CVF 2026 text-SR query,"Luo, M., et al. (2026). Restore Text First Enhance Image Later: Two-Stage Scene Text Image Super-Resolution with Glyph Structure Guidance.",2026,primary_paper,https://openaccess.thecvf.com/content/CVPR2026/html/Luo_Restore_Text_First_Enhance_Image_Later_Two-Stage_Scene_Text_Image_CVPR_2026_paper.html,url:cvf:luo-tiger-2026,not_applicable,included,Included: current glyph-structure and text-readability evidence.,2026-08-18,CVF archival page and primary abstract verified.
DUP-SRCNN-ECCV-2014,Backward chase from journal SRCNN,"Dong, C., Loy, C. C., He, K., and Tang, X. (2014). Learning a Deep Convolutional Network for Image Super-Resolution.",2014,primary_paper,https://doi.org/10.1007/978-3-319-10593-2_13,doi:10.1007/978-3-319-10593-2_13,EVID-SRCNN-2015,duplicate,Duplicate: preliminary conference version superseded here by fuller archival journal study.,2026-08-18,Preserved to make version deduplication traceable.
EXCL-VDSR-2016,CNN forward citation chase,"Kim, J., Lee, J. K., and Lee, K. M. (2016). Accurate Image Super-Resolution Using Very Deep Convolutional Networks.",2016,primary_paper,https://doi.org/10.1109/CVPR.2016.182,doi:10.1109/cvpr.2016.182,not_applicable,excluded,Excluded: relevant primary CNN paper but adds no missing Phase 1 layer after SRCNN and EDSR.,2026-08-18,May be reconsidered only if Phase 3 selection criteria require it.
EXCL-MUSVIT-2026,SMB forward/domain context chase,"PRAIG (2026). MuSViT: A Foundation Vision Model for Sheet Music Representation.",2026,official_model_documentation,https://huggingface.co/PRAIG/musvit,url:huggingface:praig-musvit,not_applicable,excluded,Excluded: current score representation model is not an SR or restoration study and is outside the focused comparison.,2026-08-18,No inference about suitability or OMR utility is made.
DISC-SR-SURVEY-2021,Terminology and backward discovery,"Wang, Z., Chen, J., and Hoi, S. C. H. (2021). Deep Learning for Image Super-resolution: A Survey.",2021,survey,https://doi.org/10.1109/TPAMI.2020.2982166,doi:10.1109/tpami.2020.2982166,not_applicable,discovery_only,Discovery only: survey used to locate primary families and terminology; never standalone claim support.,2026-08-18,All substantive candidate claims resolve to included primary or official rows.
